pn,title,relevance,stance_label,reason
8,"[헤럴드비즈] 무공해차 대전환기, 수출환경 변화에 대비해야",0,neutral,"자동차 수출·무공해차 기사로 K칩스법/반도체 세액공제 직접 근거 없음"
34,"[인물동정] 윤여표 식품의약품안전청장 외",2,neutral,"바이오시밀러 가이드라인 직접 언급이나 WHO 회의 참석 동정성 기사로 시장 방향 근거 없음"
38,"'IPO 최대어' SK바이오사이언스, SK바이오팜 전철 밟나",1,contradict,"SK바이오사이언스 IPO·주가 하락 우려로 바이오 배경 관련이나 D_i=+ 방향과 반대"
6,"반도체, 5년간 340조 투자지원… 소부장 밀집 경기도 '최대 수혜'",2,support,"반도체 초강대국 전략 직접 언급, 340조 투자지원·경기도 수혜 기대"
44,"김도진 기업은행장 ""닫힌 뱅킹에서 '열린' 플랫폼으로 사고전환해야""",0,neutral,"기업은행 플랫폼 전환 기사로 ESS 화재·2차전지와 무관"
29,"[미리보는 이데일리 신문]미래기술 알아야 대한민국 미래 보인다",1,neutral,"주택수요·임대주택 정책 실패 배경은 있으나 9·13 대책/건설주 하락 근거는 직접 제시 안 됨"
42,"[내년 달라지는 것들]산업",0,neutral,"유턴기업지원법 기사로 전기차 보조금·2차전지 수혜와 무관"
30,"민주 당대표 정치테러 대책위 ""이재명 피습 공범·배후 밝혀야…경찰, 실패한 수사""",0,neutral,"이재명 피습 수사 정치 기사로 27만호 공급 정책과 무관"
28,"[모닝브리핑]신한금융투자 “8.2 부동산 대책, 건설주 매출액 장기간 확보 업체 추천”",2,support,"8·2 부동산 대책 직접 기사, 대출규제·전매제한·투기수요 억제 등 D_i=- 방향 근거"
45,"탄소배출 많은 수입품에 稅 부과…EU, 대규모 탄소 배출 감축 계획 발표",2,support,"EU 탄소배출 수입품 과세·감축계획 직접 기사, 외국정책 비용/불확실성 충격으로 D_i=- 방향"
9,"대통령실 ""과기·산업장관 합동발표…벽 허물기 의기투합 사례""",2,support,"반도체 산업 지원 방안 합동발표 직접 기사, 산업지원·정책 신뢰 강화"
7,"美, 반도체 장비 대 중국 수출 통제...삼성·SK 별도심사",2,support,"미국 대중 반도체 수출통제 직접 기사, 삼성·SK 별도심사와 수출제한으로 D_i=- 방향"
17,"NH농협은행, 코로나19 피해 소상공인에 6000억원 금융지원",1,support,"100조 패키지 직접 언급은 없지만 코로나 피해 금융지원·유동성 공급으로 D_i=+ 배경 근거"
18,"증권거래세, 5월 30일 주식거래부터 인하",2,support,"증권거래세 인하 직접 기사, 세부담 감소로 D_i=+ 방향 근거"
22,"[정부-4당 정책협의회] ‘다주택자 보유세 重課’ 의견일치",2,support,"10·29 전 보유세 중과·부동산 투기수요 억제 직접 논의, 규제 강화로 D_i=- 방향"
13,"유가, 6弗 이상 급등..`수요감소 전망↓`",1,support,"공매도 금지 직접 언급은 없지만 금융시장 안정화 조치 배경으로 D_i=+ 방향 약한 근거"
3,"청와대, ‘일본 수출 규제’ 이틀째 대응 ‘신중’",2,support,"일본 수출규제 직접 기사, 반도체 핵심소재 수출규제·경제보복으로 D_i=- 방향 근거"
20,"자통법 시작부터 ‘진통’",2,contradict,"자통법 직접 기사이나 제도 미비·혼선·수수료 부담 등 D_i=+ 방향과 반대 근거"
25,"[정치]""울산 성장 통한 대한민국 성장 확신""",0,neutral,"울산발전 토론회·산업단지 기사로 보금자리 150만 주택공급 정책 직접 근거 없음"
32,"""줄기세포 원숭이 임상실험 성공한 듯""",1,support,"줄기세포 정책 직접 언급은 약하지만 황우석 후속 연구성과 기대가 바이오 투자심리 D_i=+ 방향"
49,"트럼프 관세, 화석연료 확대도 장애",1,support,"IRA 축소 직접 언급은 없지만 트럼프 관세·재생에너지 장애 등 에너지정책 충격 배경으로 D_i=- 방향"
41,"여주군 ""목재펠릿"" 성공 전국에 전파",1,support,"녹색성장 직접 정책은 아니나 목재펠릿·산림 바이오에너지 정책 성공 사례로 D_i=+ 배경 근거"
4,"[사진]'소재·부품·장비' 경쟁령 강화 대책 브리핑",2,neutral,"소부장 경쟁력 강화 대책 브리핑 직접 기사이나 사진/일정성 보도라 시장 방향 근거는 없음"
15,"공매도 금지하자 폭락 장에도 주가 올라… 정부, 29개 종목 새로 지정",2,support,"공매도 규제 강화 직접 기사, 폭락장에서도 지정 종목 주가 상승 언급으로 시장안정 D_i=+ 근거"
37,"文대통령 ""바이오헬스 앞서갈 적기"", 바이오 빅데이터·R&D에 연간 4조원 투자",2,support,"바이오헬스 국가비전·R&D 4조 투자 직접 기사, 바이오 성장 기대로 D_i=+ 방향"
12,"리먼 은행·증권서울지점 일부 영업정지(상보)",2,support,"리먼 파산보호와 서울지점 영업정지 직접 기사, 금융위기 충격으로 D_i=- 방향"
27,"김현미 국토부 장관 ""일부 주택시장 과열 재발 우려""",2,support,"6·19 대책 이후 추가대책 가능성 직접 기사, 주택시장 과열·추가 규제 압력으로 D_i=- 방향"
31,"추경예산 2조4천억원 편성",1,neutral,"의약분업 현안 예산 언급은 있으나 제약/바이오 주가 하락 전달경로는 직접 제시 안 됨"
33,"황우석 줄기세포 진위 공방 / 노성일, 황교수와 왜 결별했나",2,support,"황우석 논문 진위 공방·노성일 결별 직접 기사, 바이오 신뢰 훼손으로 D_i=- 방향"
47,"中 염성 중요 프로젝트 쾌속 추진 플랫폼 가동",0,neutral,"중국 염성 프로젝트 추진 기사로 한국 배터리 전략과 무관"
