id,date,policy,status,best_stock,best_change,actual_date,note
반도체#1,1999-05-20,현대전자-LG반도체 빅딜,✅ 기확정,-,-3.57,1999-05-20,기존 검증 완료
반도체#2,2003-08-22,차세대 성장동력 10대 산업 확정,✅ 기확정,-,-3.69,2003-08-22,기존 검증 완료
반도체#3,2019-07-01,일본 수출규제 발동,✅ 통과,000660,2.0,2019-07-02,2% 기준 충족
반도체#4,2019-08-05,소부장 경쟁력 강화 대책,✅ 통과,000660,-4.51,2019-08-06,2% 기준 충족
반도체#5,2021-05-13,K-반도체 벨트 전략,✅ 통과,042700,9.5,2021-05-14,2% 기준 충족
반도체#6,2022-07-21,반도체 초강대국 달성 전략,✅ 기확정,-,2.15,2022-07-21,기존 검증 완료
반도체#7,2022-10-07,미국 대중국 반도체 수출통제,🔶 보류,-,0.0,-,보류 - 종목/날짜/정책 교체 검토 필요
반도체#8,2023-03-22,K칩스법 1차 (세액공제 8→15%),✅ 통과,000660,3.95,2023-03-22,2% 기준 충족
반도체#9,2024-01-15,반도체 메가 클러스터,✅ 통과,042700,-6.23,2024-01-16,2% 기준 충족
반도체#10,2025-02-27,K칩스법 2차 (세액공제 15→20%),✅ 통과,042700,-6.5,2025-02-28,2% 기준 충족
금융#1,1998-06-29,금융 구조조정 5개 은행 퇴출,✅ 기확정,-,-3.16,1998-06-29,기존 검증 완료
금융#2,2008-09-15,리먼브라더스 파산,✅ 기확정,-,-9.8,2008-09-15,기존 검증 완료
금융#3,2008-10-01,공매도 전면 금지①,🔶 보류,-,0.0,-,보류 - 종목/날짜/정책 교체 검토 필요
금융#4,2011-08-10,공매도 일시 금지②,✅ 기확정,-,-2.91,2011-08-10,기존 검증 완료
금융#5,2020-03-16,공매도 전면 금지③ (코로나),✅ 통과,105560,-7.01,2020-03-17,2% 기준 충족
금융#6,2020-03-24,코로나 금융안정 패키지 100조원,✅ 통과,006800,19.65,2020-03-25,2% 기준 충족
금융#7,2020-06-25,증권거래세 단계적 인하,✅ 통과,039490,-6.02,2020-06-25,2% 기준 충족
금융#8,2023-11-06,공매도 재금지④,✅ 통과,039490,10.02,2023-11-06,2% 기준 충족
금융#9,2024-01-17,기업 밸류업 프로그램,✅ 통과,006800,-3.45,2024-01-18,2% 기준 충족
금융#10,2024-11-04,금투세 폐지 여야 합의,✅ 통과,006800,2.28,2024-11-04,2% 기준 충족
부동산#1,1998-05-22,IMF 직후 주택경기 활성화 대책,✅ 기확정,-,-2.99,1998-05-22,기존 검증 완료
부동산#2,2003-10-29,10.29 주택시장 안정 종합대책,✅ 기확정,-,-5.01,2003-10-29,기존 검증 완료
부동산#3,2005-08-31,8.31 부동산 종합대책,✅ 기확정,-,4.0,2005-08-31,기존 검증 완료
부동산#4,2008-09-01,부동산 세제 완화 대책,✅ 기확정,-,-8.35,2008-09-01,기존 검증 완료
부동산#5,2008-09-19,보금자리주택 건설 방안,✅ 기확정,-,6.91,2008-09-19,기존 검증 완료
