pn,title,relevance,stance_label,reason
8,"[헤럴드비즈] 무공해차 대전환기, 수출환경 변화에 대비해야",0,neutral,"자동차 수출·무공해차 칼럼, K칩스법/반도체 세액공제 직접 근거 없음"
34,[인물동정] 윤여표 식품의약품안전청장 외,1,neutral,"WHO 바이오시밀러 가이드라인 회의 참석 동정 기사, 정책 영향 다루지 않음"
38,"'IPO 최대어' SK바이오사이언스, SK바이오팜 전철 밟나",1,contradict,"SK바이오사이언스 IPO/주가 하락 우려, K-CMO 정책 D=+ 방향과 반대"
6,"반도체, 5년간 340조 투자지원… 소부장 밀집 경기도 '최대 수혜'",2,support,반도체 초강대국 전략 직접·340조 투자지원·소부장 수혜 명시 (D=+ 호재)
44,"김도진 기업은행장 ""닫힌 뱅킹에서 '열린' 플랫폼으로 사고전환해야""",0,neutral,"기업은행장 플랫폼 전환 발언, ESS 화재/2차전지와 무관"
29,[미리보는 이데일리 신문]미래기술 알아야 대한민국 미래 보인다,1,neutral,"신문 헤드라인 나열, 임대주택 정책 실패 언급 있으나 시장 방향 근거 약함"
42,[내년 달라지는 것들]산업,0,neutral,"유턴기업지원법 시행 기사, 전기차 보조금과 무관"
30,"민주 당대표 정치테러 대책위 ""이재명 피습 공범·배후 밝혀야…경찰, 실패한 수사""",0,neutral,"이재명 피습 수사 정치 기사, 27만호 공급과 무관"
28,"[모닝브리핑]신한금융투자 “8.2 부동산 대책, 건설주 매출액 장기간 확보 업체 추천”",2,support,"8.2 부동산 대책 직접 분석, 대출규제·전매제한·투기수요 억제 (D=- 방향)"
45,"탄소배출 많은 수입품에 稅 부과…EU, 대규모 탄소 배출 감축 계획 발표",2,support,"EU 탄소배출 감축계획 + 수입품 세금 직접 발표, K-기업 충격 (D=- 방향)"
9,"대통령실 ""과기·산업장관 합동발표…벽 허물기 의기투합 사례""",2,support,"메가 클러스터 합동발표, 부처 간 벽 허물기 + 반도체 산업 지원 (D=+ 호재)"
7,"美, 반도체 장비 대 중국 수출 통제...삼성·SK 별도심사",2,support,미국 대중 반도체 수출통제·삼성SK 별도심사 직접 (D=- 한국 충격)
17,"NH농협은행, 코로나19 피해 소상공인에 6000억원 금융지원",1,support,"NH농협 코로나 6000억 금융지원, 100조 패키지 직접 X but 유동성 공급 배경 (D=+)"
18,"증권거래세, 5월 30일 주식거래부터 인하",2,support,"증권거래세 인하 직접 기사, 세율 인하 시스템 점검 (D=+ 세부담 감소)"
22,[정부-4당 정책협의회] ‘다주택자 보유세 重課’ 의견일치,2,support,10·29 직전 정책협의회 + 다주택자 보유세 중과·투기수요 억제 (D=- 규제)
13,"유가, 6弗 이상 급등..`수요감소 전망↓`",1,neutral,"유가 급등 + 미 금융시장 안정화 조치 배경, 공매도 직접 효과 근거 없음"
3,"청와대, ‘일본 수출 규제’ 이틀째 대응 ‘신중’",2,support,일본 수출규제 청와대 대응 + 반도체 핵심소재 규제 + 경제보복 (D=- 충격)
20,자통법 시작부터 ‘진통’,2,contradict,자통법 본격 발효 + 제도 미비·혼선·수수료 부담 (D=+ 정책 반대 효과)
25,"[정치]""울산 성장 통한 대한민국 성장 확신""",0,neutral,"울산 발전 토론회·산업단지 + 테크노벨트, 보금자리 주택 정책과 무관"
32,"""줄기세포 원숭이 임상실험 성공한 듯""",1,support,황우석 줄기세포 원숭이 임상 성공 + 후속 연구성과 기대 (D=+ 바이오)
49,"트럼프 관세, 화석연료 확대도 장애",1,support,"트럼프 관세 + 재생에너지/화석연료 장애 배경, IRA 직접 X but D=- 충격 방향"
41,"여주군 ""목재펠릿"" 성공 전국에 전파",1,support,여주 목재펠릿 성공 + 산림 바이오에너지 + 정책설명회 (D=+ 녹색성장 사례)
4,[사진]'소재·부품·장비' 경쟁령 강화 대책 브리핑,2,neutral,"소부장 경쟁력 강화 대책 브리핑 사진·일정성 기사, 방향 근거 없음 (가이드 §3.4 정보성)"
15,"공매도 금지하자 폭락 장에도 주가 올라… 정부, 29개 종목 새로 지정",2,support,공매도 금지 + 폭락장에도 주가 상승 + 과열종목 29개 지정 (D=+ 시장안정)
37,"文대통령 ""바이오헬스 앞서갈 적기"", 바이오 빅데이터·R&D에 연간 4조원 투자",2,support,문대통령 바이오헬스 직접 발표 + 연 4조 R&D 투자 (D=+ 산업 육성)
12,리먼 은행·증권서울지점 일부 영업정지(상보),2,support,리먼 서울지점 영업 일부정지·금융위 조치 직접 (D=- 금융 충격)
27,"김현미 국토부 장관 ""일부 주택시장 과열 재발 우려""",2,support,김현미 장관 6·19 후속 추가 대책 가능성 직접 시사 (D=- 추가 규제)
31,추경예산 2조4천억원 편성,1,neutral,"추경예산 2조4천억·의약분업 현안 예산 측면, 의약분업 시장 방향 근거 약함"
33,"황우석 줄기세포 진위 공방 / 노성일, 황교수와 왜 결별했나",2,support,황우석 진위 공방·노성일 결별·논문 오류 직접 (D=- 신뢰 훼손)
47,中 염성 중요 프로젝트 쾌속 추진 플랫폼 가동,0,neutral,"중국 염성 프로젝트 추진 기사, 한국 배터리 전략과 무관"
